ID,Country,Country_ID,ISO2,ISO3,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,IU_NAME,IU_ID,LocationName,Longitude,Latitude,Georeliability,LocationType,SurveyYear,Period,Method_0,Method_1,Method_2,Examined,Positive,Prevalence,Source,Funding,Composite_IU_ID,elevation,dist_water,MEANndvi,Sdndvi,MAXndvi,MINndvi
601,Cameroon,7,CM,CMR,EST,820,ABONG MBANG,7459,ABONG MBANG,7459,Nsan I,12.60951,3.97218,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,60,0.75,APOC,APOC,ACMR0082007459,0.679,5.98000001907349,0.713541775730426,0.079890615108667,0.845067569214871,0.470529184331704
1046,Cameroon,7,CM,CMR,SUD,826,MVANGAN,7587,MVANGAN,7587,Alouma(Melang-Messi),11.8099,2.75548333,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,75,37,0.493333333,APOC,APOC,ACMR0082607587,0.62,28.4090003967285,0.760942663476817,0.069338671799164,0.888921843915203,0.570602246920077
1154,Cameroon,7,CM,CMR,SUD OUEST,827,NGUTI,7605,NGUTI,7605,Elambeng,9.66603,5.12215,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,14,0.175,APOC,APOC,ACMR0082707605,0.566,4.92199993133545,0.749115251378585,0.071007900200078,0.879720003638942,0.571182721402557
865,Cameroon,7,CM,CMR,NORD OUEST,824,NKAMBE,7555,NKAMBE,7555,Chup,10.65,6.48333333,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,99,28,0.282828283,APOC,APOC,ACMR0082407555,1.442,36.984001159668,0.600363727487376,0.176503869606795,0.799329388577803,0.297654180294218
728,Cameroon,7,CM,CMR,LITTORAL,822,LOUM,7512,LOUM,7512,Ndoh II,9.80083333,4.67388889,1,Village,2005,2001 - 2005,Mapping,RAPLOA,Questionnaire,50,28,0.56,APOC,APOC,ACMR0082207512,0.142,0.277999997138977,0.73539029297046,0.08930317203547,0.856257075611679,0.467914561223176
840,Cameroon,7,CM,CMR,NORD OUEST,824,NDOP,7552,NDOP,7552,Bali Gansin,10.56888889,5.92722222,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,90,17,0.188888889,APOC,APOC,ACMR0082407552,1.178,2.23200011253357,0.595497512289254,0.132756905218985,0.778023985652587,0.353967506811935
1099,Cameroon,7,CM,CMR,SUD,826,SANGMELIMA,7589,SANGMELIMA,7589,Mekom,11.86246667,2.89135,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,95,49,0.515789474,APOC,APOC,ACMR0082607589,0.712,14.6129999160767,0.762139203948009,0.0653269084171,0.874163911989669,0.608484315105364
505,Cameroon,7,CM,CMR,CENTRE,819,"NANGA EBOKO",7447,"NANGA EBOKO",7447,Mendoum/Kakban,12.9575,4.65694444,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,82,36,0.43902439,APOC,APOC,ACMR0081907447,0.721,32.5849990844727,0.773959348621226,0.067780913608097,0.88544870198133,0.572049152052183
938,Cameroon,7,CM,CMR,SUD,826,AMBAM,7581,AMBAM,7581,Mekomo/Eves,10.90355,2.57555,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,41,0.5125,APOC,APOC,ACMR0082607581,0.591,35.9659996032715,0.771880824644455,0.065735285436324,0.883943822644004,0.582218632932355
504,Cameroon,7,CM,CMR,CENTRE,819,"NANGA EBOKO",7447,"NANGA EBOKO",7447,Wall,13.075,4.89361111,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,105,39,0.371428571,APOC,APOC,ACMR0081907447,0.631,3.19600009918213,0.710659182122304,0.081388991860835,0.870402723978636,0.458508446714531
